Attention Check,Vehicle Imagined,AV Experience,Primary Mode,ADAS Usage,Tech Confidence,Driving Experience,Continent,Gender,Age,Display,Answer Value,Video ID,Ethnicity,Country,Student,Employment,Driver Trust,Time To Event,Light Conditions,Weather,Scene,Road Type,Ego Fault,Point of Impact,Ego Avoidability,Ego Maneuver,Ego Speeding,Ego Violation,Other Maneuver,Other Speeding,Other Body Style,Other Violation,VRU Involvement,Impact Severity
Pass,AV,No,Car,Medium,Medium,5-10,Africa,Female,<25,AV,1.0,F_YLWlQlrhAIjBIqK,Black,South Africa,Unknown,Unknown,Low,1.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,Medium,>10,Europe,Male,25-45,HDV,0.0,F_rIkjTSjB0ai24IB,White,United Kingdom,No,Full-Time,Medium,2.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,High,High,<5,Africa,Female,<25,AV,0.0,F_rIkjTSjB0ai24IB,Black,South Africa,Yes,Part-Time,Medium,2.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Public Transport,Medium,Medium,>10,Europe,Female,45-65,HDV,1.0,F_rIkjTSjB0ai24IB,White,United Kingdom,Yes,Part-Time,Medium,2.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Low,Medium,<5,Europe,Male,<25,HDV,1.0,F_rIkjTSjB0ai24IB,White,Italy,Unknown,Unknown,Medium,2.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Low,High,5-10,Africa,Female,25-45,HDV,0.0,F_rIkjTSjB0ai24IB,Mixed,South Africa,Unknown,Unknown,Medium,2.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Public Transport,Low,High,<5,South America,Female,25-45,HDV,0.0,F_rIkjTSjB0ai24IB,White,Chile,No,Full-Time,High,2.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Medium,Medium,5-10,Africa,Male,25-45,AV,0.0,F_rIkjTSjB0ai24IB,Black,South Africa,Unknown,Full-Time,Medium,2.0,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Bicycle/on foot,Low,High,<5,North America,Male,25-45,AV,0.0,F_QA6OSCx356LE5H7,White,United Kingdom,No,Full-Time,Medium,2.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Low,Medium,<5,South America,Male,25-45,HDV,0.0,F_QA6OSCx356LE5H7,White,Chile,No,Part-Time,Medium,2.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,High,>10,Europe,Female,45-65,HDV,0.0,F_QA6OSCx356LE5H7,White,United Kingdom,No,Unknown,Medium,2.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,Medium,5-10,Africa,Female,25-45,HDV,0.0,F_QA6OSCx356LE5H7,Black,South Africa,Yes,Full-Time,Low,2.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Public Transport,Low,Low,<5,Europe,Male,25-45,AV,0.0,F_QA6OSCx356LE5H7,White,Spain,No,Unemployed,Medium,2.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,Medium,>10,Africa,Female,25-45,HDV,1.0,F_QA6OSCx356LE5H7,Black,South Africa,No,Full-Time,Low,2.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Medium,High,5-10,Africa,Male,25-45,HDV,0.0,F_QA6OSCx356LE5H7,Black,South Africa,Yes,Full-Time,High,2.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Car,Low,High,>10,Africa,Female,25-45,HDV,1.0,F_QA6OSCx356LE5H7,Black,South Africa,Yes,Full-Time,High,2.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Public Transport,Low,Medium,>10,North America,Female,>65,AV,0.0,F_opRHFIH3Bd75LOI,White,United States,No,Full-Time,High,0.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Low,Medium,5-10,Europe,Male,45-65,AV,0.0,F_opRHFIH3Bd75LOI,White,United Kingdom,No,Part-Time,Low,0.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Public Transport,Low,High,<5,Africa,Female,25-45,HDV,0.0,F_opRHFIH3Bd75LOI,Black,South Africa,Yes,Unknown,Medium,0.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Medium,Medium,5-10,Africa,Female,<25,AV,1.0,F_opRHFIH3Bd75LOI,Black,South Africa,Unknown,Unknown,Low,0.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,Yes,Car,High,High,<5,Africa,Female,25-45,HDV,1.0,F_opRHFIH3Bd75LOI,Black,South Africa,No,Full-Time,Medium,0.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,AV,No,Car,Medium,Medium,>10,Europe,Female,25-45,HDV,0.0,F_opRHFIH3Bd75LOI,White,Spain,Yes,Full-Time,Medium,0.5,Dark,Rain,Highway,Ramp,Yes,Rear-End,Clearly Avoidable,Go Straight,No,No,Go Straight,No,SUV,No,No,Minor
Pass,HDV,No,Public Transport,Low,High,<5,Europe,Male,25-45,HDV,1.0,F_5hQwQkBn5iARJhh,White,Portugal,No,Full-Time,High,1.0,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,No,Car,Low,Medium,5-10,Europe,Male,25-45,HDV,1.0,F_5hQwQkBn5iARJhh,White,Poland,No,Full-Time,Medium,1.0,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,No,Car,Medium,High,>10,Europe,Male,45-65,HDV,1.0,F_5hQwQkBn5iARJhh,White,Italy,Unknown,Unknown,Medium,1.0,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,No,Car,Medium,High,5-10,Africa,Male,25-45,HDV,1.0,F_5hQwQkBn5iARJhh,Black,South Africa,Yes,Full-Time,High,1.0,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,AV,No,Car,Low,High,5-10,South America,Male,25-45,AV,1.0,F_O8g697egwbTcxrG,White,Argentina,No,Part-Time,Medium,1.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,Yes,Car,Low,High,5-10,North America,Male,25-45,HDV,1.0,F_O8g697egwbTcxrG,White,Mexico,No,Full-Time,High,1.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,No,Car,Low,Medium,>10,Europe,Male,45-65,HDV,0.0,F_O8g697egwbTcxrG,White,United Kingdom,No,Unemployed,Medium,1.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,No,Car,Medium,High,<5,Africa,Female,<25,HDV,0.0,F_O8g697egwbTcxrG,Black,South Africa,Unknown,Unknown,Medium,1.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,AV,No,Car,High,High,5-10,Africa,Female,25-45,AV,1.0,F_O8g697egwbTcxrG,Black,South Africa,Yes,Full-Time,Medium,1.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,No,Car,Low,High,>10,Africa,Male,25-45,HDV,0.0,F_O8g697egwbTcxrG,Black,South Africa,Unknown,Part-Time,Medium,1.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,No,Car,High,Medium,>10,Europe,Female,45-65,AV,0.0,F_o6vqvGJr8KOe1ZZ,Asian,United Kingdom,No,Part-Time,Low,2.0,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,AV,No,Car,Low,Medium,<5,Europe,Male,<25,AV,0.0,F_o6vqvGJr8KOe1ZZ,White,Portugal,No,Unemployed,Low,2.0,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,AV,No,Car,High,High,5-10,Europe,Male,25-45,AV,0.0,F_o6vqvGJr8KOe1ZZ,Black,United Kingdom,Yes,Full-Time,Low,2.0,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,HDV,No,Car,Low,Medium,>10,North America,Female,45-65,HDV,0.0,F_qlUe9M3TwLkDzzz,White,United States,No,Full-Time,Medium,2.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,AV,No,Car,Low,High,>10,North America,Male,25-45,AV,0.0,F_qlUe9M3TwLkDzzz,Black,United States,Unknown,Unknown,Low,2.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
Pass,AV,No,Car,Medium,High,>10,Europe,Male,25-45,AV,0.0,F_qlUe9M3TwLkDzzz,White,United Kingdom,Unknown,Unknown,Medium,2.5,Normal,Cloudy,Sub-urban,Signalized Intersection,Yes,T-bone,Potentially Avoidable,Turning,No,Right-of-way,Go Straight,No,SUV,No,No,Severe
